barcode,product_name,ingredients,image_url
815921017101,Volumising shampoo,"Water (Aqua), Cocamidopropyl Betaine, Sodium Coco-Sulfate, Glycerin, Glycol Stearate, Cucumis Sativus (Cucumber) Fruit Extract, Aloe Barbadensis (Aloe) Leaf Juice, Citrus Limon (Lemon) Fruit Extract, Camillia Oleifera (Green Tea) Leaf Extract, Caprylhydroxamic Acid, Polyacrylate-32, Sodium Chloride, Citric Acid, Benzyl Alcohol, Fragrance (Parfum).",
815921017118,Volumising conditioner,"Water (Aqua), Cetearyl Alcohol, Behentrimonium Chloride, Cetyl Esters, Clyceryl Caprylate, Citrus Limon (Lemon) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Camellia Oleifera (Green Tea) Leaf Extract, Aloe Barbadensis (Aloe) Leaf Juice, Guar Hydroxypropyltrimonium Chloride, , Glycerin, Polyacrylate-32, Sodium Hydroxide, Glyceryl Undecylenate, Fragrance (Parfum).",
816820020711,Argan oil shampoo,"Eau ultra purifiée, sodium cocoyl isethionate, cocamidopropyl, betaine, sodium lauroamphoacetate, sodium méthyl cocoyle taurate, sodium lauryl glucoside garboxylate, lauryl glucoside, sodium cocoyl glutamate, acrylates copolymer cocoa-glucoside, glyceryl oleate, polysorbate 20, huile d'argan, phytokeratin, noyau pêche, huile d'amande, jojoba, graine camélia & avocat, pseudo collagène, fragrance vanille naturelle/miel. ",
84500051423,Head and Shoulders Smooth and Silky 2 in 1,"Active Ingredients: Pyrithione Zinc (1%, Anti-Dandruff) Inactive Ingredients: Water, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamide MEA, Zinc Carbonate, Glycol Distearate, Dimethicone, Fragrance, Cetyl Alcohol, Guar Hydroxypropyltrimonium Chloride, Magnesium Sulfate, Sodium Benzoate, Magnesium Carbonate Hydroxide, Ammonium Laureth Sulfate, Benzyl Alcohol, Sodium Chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Sodium Xylene Sulfonate",
850629004107,I ♥ Pet Head,"WATER (AQUA), CETEARYL ALCOHOL (PLANT DERIVED), STEARALKONIUM CHLORIDE, SILK AMINO ACIDS, DMDM HYDANTOIN, CEREUS GRANDIFLORUS (CACTUS) FLOWER EXTRACT, CALENDULA OFFICINALIS (MARIGOLD) FLOWER EXTRACT, FRAGRANCE (PARFUM), POLYSORBATE-60 (PLANT DERIVED), PANTHENOL (PRO-VITAMIN B5), HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL, DISODIUM EDTA, TOCOPHERYL ACETATE (VITAMIN E ACETATE), AVENA SATIVA (OAT) KERNEL FLOUR, GLYCERIN (PLANT DERIVED), METHYLCHLOROISOTHIAZOLINONE, METHYLISOTHIAZOLINONE, YELLOW 6 (CI#15985), YELLOW 5 (CI#19140), CITRIC ACID (NATURALLY DERIVED)",
856642006104,Après-Shampoing à l'Huile d'Argan,"Eau ultra purifiée, lierre, racine bardane, fenugrec, romarin, ortie, thym, racine guimauve, feuille bouleau, prêle, graines noix & cassis, houblon, sauge, mer-nerprun, açai, margousier, écorce cerisier sauvage, piment, extraits écorce de saule blanc, HE orange & cèdre, aloe vera, huile argan, alcool cétéarylique, chloride behentrimonium, chloride stéarakonium, chloride dicetyldimonium, glycéryl stéarate, peg 100 stéarate, amodiméthicone, diméthicone, cyclométhicone, kératine hydrolysée, hydroxéthyl cellulose, phénoxéthyl éthanol, amyl cinnamal, alcool benzylique, salicyclate de benzyl, heaxyl cinnamal, glycérine, protéines blé (et) amidon hydrolysés, avoine, protéine quinoa hydrolysés, trideceth-5, trideceth-10, ppg-26-buthet-26, peg-40 huile de ricin hydrogénée, apigénine, acide oléanolique , biotinoyl tripeptide-1,Vitamin E, B, C, limonène, linalool, saw palmetto, butylène glycol, edta tetrasodique, éthylhexyl méthoxycinnamate, acide citrique, fragrance.",
1013089075141,Gel douche Coco bio & vanille,"Aqua (Water), Coco Glucoside, Sodium Coco Sulfate, Lauryl Glucoside, Glyceryl Oleate, Glycerin, Inulin, Aloe Barbadensis Leaf Juice*, Sorbitol, Betaine, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Cocos Nucifera (Coconut) Fruit Extract*, Citric Acid, Maris Sal (Sea Salt), Glyceryl Caprylate, Sodium PCA, Parfum (Essential Oils), Potassium Sorbate, PCA Ethyl Cocoyl Arginate,Parfum (Fragrance)",
1234567891,Mousse nettoyante 100% naturelle à base d'huile de colza bio,"eau, oléate-, laurate-, eruciate-, linoléate-, palmitate-, stéarate, myristate de potassium, glycérol, vitamine E. Sans conservateurs, sans parfum, sans parabènes, sans huile de palme, sans allergènes. 100% bio.",
13199,Yves Rocher Reparation Shampooing Soin Nutri-Reparateur,"eau, sodium laureth sulfate, cocamidopropyl betaine, glycol distearate, centaurea, cyanus flower water, simmondsia chinensis seed oil, cocamide mipa, peg-7 glyceryl cocoate, parfum, acrylates copolymer, citric acid, sodium benzoate, lauryl glucoside, guar hydroxypropyltrimonium chloride, hydroxypropyltrimonium hydrolyzed wheat protein, polyquaternium-10, sodium chloride, panthenol, sodium hydroxide, phospholipids, salicylic acid, glycine soja oil, phenoxyethanol, glycolipids, glycine soja sterols, potassium sorbate",
16724,Poudre libre veloutée transparence rosée,"talc, aluminium starch octenylsuccinate, kaolin, bambusa arundinacea stem powder, magnesium carbonate, tocopheryl acetate, parfum/ fragrance, propylparaben, methylparaben.",
